Image,Class
poligons_Parejas_zemes\4114-14_2_tile_1120_8736.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1120_8960.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1120_9632.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_8064.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_8288.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_8512.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1344_9632.tif,15
poligons_Mezs\4114-14_2_tile_1568_6720.tif,13
poligons_Parejas_zemes\4114-14_2_tile_1568_8288.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1568_8512.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1568_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1568_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1568_9632.tif,15
poligons_Mezs\4114-14_2_tile_1792_6048.tif,13
poligons_Mezs\4114-14_2_tile_1792_6272.tif,13
poligons_Mezs\4114-14_2_tile_1792_6496.tif,13
poligons_Mezs\4114-14_2_tile_1792_6720.tif,13
poligons_Parejas_zemes\4114-14_2_tile_1792_7392.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_7616.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_8288.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_8512.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_8736.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_1792_9632.tif,15
poligons_Mezs\4114-14_2_tile_2016_5376.tif,13
poligons_Mezs\4114-14_2_tile_2016_5600.tif,13
poligons_Parejas_zemes\4114-14_2_tile_2016_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2016_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2016_9632.tif,15
poligons_Mezs\4114-14_2_tile_2240_4256.tif,13
poligons_Mezs\4114-14_2_tile_2240_4480.tif,13
poligons_Mezs\4114-14_2_tile_2240_4704.tif,13
